Contract ID;Created Date;Type;Insurance Category;Yearly Management Fee;Sales Fee;Customer ID
1;04.04.17;Existing Contract;Personal liability insurance;;0;1280
2;09.03.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance (with insurance cover certificate);;0;4246
3;23.02.17;Existing Contract;Occupational disability insurance & term life insurance;;0;3976
4;28.02.17;Existing Contract;Statutory health insurance;;0;4221
5;08.11.17;Existing Contract;Travel health insurance;;0;3525
6;16.03.17;Existing Contract;Personal liability insurance;0;0;1198
7;28.04.17;Existing Contract;Personal liability insurance;11,2;0;4043
8;06.11.17;Existing Contract;Legal protection insurance;35,69;0;564
9;13.05.17;Existing Contract;Statutory health insurance;;0;965
10;16.06.17;Existing Contract;Homeowner’s building insurance;54,26;0;4019
11;08.05.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;0;0;416
12;24.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;0;0;1533
13;06.03.17;Existing Contract;Household contents insurance;8,26;0;3735
14;28.04.17;Existing Contract;Personal liability insurance;12,19;0;2078
15;20.02.17;Existing Contract;Statutory health insurance;;0;3667
16;27.04.17;Existing Contract;Endowment life insurance;13,22;0;2070
17;19.01.17;Existing Contract;Riester pension insurance scheme;19,46;0;1604
18;14.02.17;Existing Contract;Personal liability insurance;10,75;0;1903
19;02.06.17;Existing Contract;Travel health insurance;;0;3137
20;03.04.17;Existing Contract;Statutory health insurance;;0;3416
21;20.03.17;Existing Contract;Supplementary hospitalisation insurance, supplementary dental insurance, supplementary outpatient health insurance & supplementary long-term nursing care insurance (KV);28,42;0;2388
22;30.03.17;Existing Contract;Statutory health insurance;;0;68
23;06.07.17;Existing Contract;Occupational disability insurance & term life insurance;5,56;0;4394
24;07.06.17;Existing Contract;Private health insurance;;0;3712
25;24.05.17;Existing Contract;Personal liability insurance;13,9;0;5147
26;05.05.17;New Contract;Household contents insurance;28,31;0;4955
27;12.04.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;;0;1492
28;24.03.17;Existing Contract;Personal liability insurance;;0;4057
29;12.06.17;Existing Contract;Endowment life insurance;;0;3897
30;24.01.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;38,89;0;5374
31;04.07.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;1194
32;07.02.17;Existing Contract;Motor vehicle liability insurance;0;0;3086
33;20.04.17;Existing Contract;Household contents insurance & natural disasters insurance;41,37;0;4170
34;13.09.17;Existing Contract;Household contents insurance & glass insurance;0;0;2756
35;30.05.17;Existing Contract;Statutory health insurance;;0;3001
36;22.08.17;Existing Contract;Household contents insurance;9;0;3828
37;31.05.17;Existing Contract;Statutory health insurance;;0;969
38;12.05.17;Existing Contract;Household contents insurance;36,83;0;3247
39;26.04.17;Existing Contract;Statutory health insurance;;0;347
40;28.09.17;Existing Contract;Supplementary dental insurance;9,78;0;1042
41;13.04.17;Existing Contract;Autocycle and moped insurance;;0;1478
42;07.04.17;Existing Contract;Supplementary hospitalisation insurance;2,42;0;3811
43;09.11.17;Existing Contract;Personal liability insurance;;0;3772
44;07.09.17;Existing Contract;Private pension insurance;;0;3709
45;05.03.17;Existing Contract;Statutory health insurance;;0;4890
46;04.10.17;Existing Contract;Legal protection insurance;23,19;0;575
47;31.05.17;Existing Contract;Statutory health insurance;;0;3933
48;18.04.17;Existing Contract;Term life insurance;;0;5294
49;30.06.17;Existing Contract;Occupational disability insurance;0;0;1705
50;31.05.17;Existing Contract;Personal liability insurance;18,2;0;2450
51;21.04.17;Existing Contract;Statutory health insurance;;0;268
52;14.06.17;Existing Contract;Private pension insurance;24;0;1742
53;28.03.17;Existing Contract;Legal protection insurance;46,66;0;4235
54;03.07.17;Existing Contract;ADAC (automobile association) Plus membership;;0;1851
55;09.05.17;Existing Contract;Homeowner’s building insurance;37,47;0;2197
56;31.03.17;Existing Contract;Accident insurance;0;0;2507
57;10.05.17;Existing Contract;Statutory health insurance;;0;2102
58;05.05.17;Existing Contract;Accident insurance;2,52;0;3744
59;13.02.17;Existing Contract;Statutory health insurance;;0;3037
60;14.02.17;Existing Contract;Accident insurance;70,03;0;3536
61;23.05.17;Existing Contract;Personal liability insurance;;0;2293
62;08.05.17;Existing Contract;Statutory health insurance;;0;2870
63;24.02.17;Existing Contract;Accident insurance;;0;4570
64;21.02.17;Existing Contract;Statutory health insurance;;0;132
65;26.04.17;Existing Contract;Travel health insurance;;0;3694
66;15.04.17;Existing Contract;Statutory health insurance;;0;4441
67;24.07.17;New Contract;Household contents insurance;9,81;0;1979
68;29.03.17;Existing Contract;Personal liability insurance;12,62;0;4288
69;13.04.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;476
