Customer ID;Registration Date;Network;Platform;Age;Gender;Marital Status;Kids;Occupation;Automobile;Property;Number of Logins;Last Login Date;Number of Interactions;Number of Exist. Contracts;Number of New Contracts;Sum of Yearly Management Fee;Sum of Sales Fee
1;11.01.17;Print;web;59;male;Married;YES;Employee;YES;NO;22;13.01.18;8;6;0;13,3;0
2;12.02.17;Organic;app;48;male;In a Partnership;YES;Employee;YES;NO;3;13.02.17;5;3;0;58,58;0
3;21.05.17;Digital Incent;app;37;male;Single;YES;Unemployeed;NO;NO;7;27.05.17;2;1;0;0;0
4;05.04.17;Organic;web;36;male;Married;NO;Employee;YES;NO;1;05.04.17;5;1;0;0;0
5;22.05.17;Partnership (non rev share);web;24;male;In a Partnership;NO;Employee;YES;NO;6;24.03.18;5;2;0;0;0
6;20.05.17;Partnership (non rev share);web;51;male;Single;YES;Employee;YES;YES;27;06.12.17;18;5;1;37,18;0
7;01.04.17;Organic;app;34;male;Married;YES;Employee;YES;YES;13;08.05.17;26;5;0;20;0
8;01.01.17;Organic;app;30;male;Married;NO;Employee;NO;NO;33;12.04.17;20;3;2;28,3;85
9;27.04.17;Digital Incent;web;54;male;Married;YES;Employee;YES;NO;67;14.09.17;37;3;0;16,06;0
10;14.04.17;Partnership (non rev share);web;34;male;In a Partnership;NO;Employee;YES;NO;2;14.04.17;3;1;0;44,68;0
11;17.02.17;Organic;app;27;male;Single;NO;Student/Trainee;NO;NO;6;20.02.17;3;;;0;0
12;03.02.17;Digital Incent;app;20;male;In a Partnership;YES;Student/Trainee;NO;YES;7;05.02.17;1;1;0;0;0
13;27.04.17;Partnership (non rev share);web;24;male;Single;NO;Student/Trainee;NO;NO;4;30.05.17;8;1;0;0;0
14;19.04.17;Partnership (non rev share);web;60;male;Single;NO;Unemployeed;YES;NO;3;19.04.17;3;;;0;0
15;11.01.17;Organic;app;29;male;In a Partnership;NO;Employee;YES;NO;12;12.05.17;2;1;0;0;0
16;10.03.17;Promotions;web;57;female;Married;NO;Employee;YES;NO;7;11.04.17;7;3;0;9,3;0
17;16.02.17;Organic;app;38;male;Single;YES;Employee;YES;NO;1;16.02.17;6;3;0;25,04;0
18;29.05.17;Partnership (non rev share);web;29;male;Married;YES;Employee;YES;NO;38;12.03.18;20;7;0;10,71;0
19;30.04.17;Partnership (non rev share);web;46;male;Married;YES;Employee;YES;NO;6;19.10.17;9;7;0;0;0
